filename,width,height,class,xmin,ymin,xmax,ymax
DPAC_post_roi_15_rgb.txt,30,45,weeds,436,351,466,396
DPAC_post_roi_15_rgb.txt,31,23,weeds,515,238,546,261
DPAC_post_roi_15_rgb.txt,28,26,weeds,532,178,560,204
DPAC_post_roi_15_rgb.txt,35,20,weeds,287,482,322,502
DPAC_post_roi_15_rgb.txt,22,25,weeds,365,267,387,292
DPAC_post_roi_15_rgb.txt,38,30,weeds,144,114,182,144
DPAC_post_roi_15_rgb.txt,57,46,weeds,31,341,88,387
DPAC_post_roi_15_rgb.txt,34,24,weeds,201,356,235,380
DPAC_post_roi_15_rgb.txt,33,44,weeds,488,350,521,394
DPAC_post_roi_15_rgb.txt,53,47,weeds,368,8,421,55
DPAC_post_roi_15_rgb.txt,66,51,weeds,537,3,603,54
DPAC_post_roi_15_rgb.txt,41,25,weeds,275,192,316,217
DPAC_post_roi_15_rgb.txt,22,30,weeds,424,306,446,336
DPAC_post_roi_15_rgb.txt,30,30,weeds,601,338,631,368
DPAC_post_roi_15_rgb.txt,30,25,weeds,527,185,557,210
DPAC_post_roi_15_rgb.txt,33,22,weeds,536,145,569,167
DPAC_post_roi_15_rgb.txt,30,30,weeds,6,408,36,438
DPAC_post_roi_15_rgb.txt,26,25,weeds,410,422,436,447
DPAC_post_roi_15_rgb.txt,26,27,weeds,589,56,615,83
DPAC_post_roi_15_rgb.txt,67,58,weeds,567,429,634,487
DPAC_post_roi_15_rgb.txt,37,28,weeds,356,392,393,420
DPAC_post_roi_15_rgb.txt,37,33,weeds,111,244,148,277
DPAC_post_roi_15_rgb.txt,33,33,weeds,33,327,66,360
DPAC_post_roi_15_rgb.txt,32,25,weeds,98,343,130,368
DPAC_post_roi_15_rgb.txt,27,28,weeds,133,318,160,346
DPAC_post_roi_15_rgb.txt,33,42,weeds,184,338,217,380
DPAC_post_roi_15_rgb.txt,30,34,weeds,214,378,244,412
DPAC_post_roi_15_rgb.txt,34,25,weeds,17,442,51,467
DPAC_post_roi_15_rgb.txt,30,24,weeds,40,476,70,500
DPAC_post_roi_15_rgb.txt,58,20,weeds,406,486,464,506
DPAC_post_roi_15_rgb.txt,46,20,weeds,130,16,176,36
DPAC_post_roi_15_rgb.txt,30,20,weeds,28,184,58,204
DPAC_post_roi_15_rgb.txt,35,37,weeds,589,192,624,229
DPAC_post_roi_15_rgb.txt,32,24,weeds,573,60,605,84
DPAC_post_roi_15_rgb.txt,9,35,weeds,629,110,638,145
DPAC_post_roi_15_rgb.txt,23,20,weeds,513,44,536,64
DPAC_post_roi_15_rgb.txt,33,24,weeds,316,31,349,55
DPAC_post_roi_15_rgb.txt,23,36,weeds,287,63,310,99
DPAC_post_roi_15_rgb.txt,40,25,weeds,297,115,337,140
DPAC_post_roi_15_rgb.txt,47,81,weeds,589,273,636,354
DPAC_post_roi_15_rgb.txt,31,31,weeds,465,432,496,463
DPAC_post_roi_15_rgb.txt,20,22,weeds,474,370,494,392
DPAC_post_roi_15_rgb.txt,28,26,weeds,477,278,505,304
DPAC_post_roi_15_rgb.txt,26,26,weeds,546,216,572,242
DPAC_post_roi_15_rgb.txt,15,7,weeds,505,333,520,340
DPAC_post_roi_15_rgb.txt,30,28,weeds,390,372,420,400
DPAC_post_roi_15_rgb.txt,27,25,weeds,294,450,321,475
DPAC_post_roi_15_rgb.txt,28,30,weeds,242,415,270,445
DPAC_post_roi_15_rgb.txt,26,16,weeds,160,348,186,364
DPAC_post_roi_15_rgb.txt,29,16,weeds,120,372,149,388
DPAC_post_roi_15_rgb.txt,29,12,weeds,209,459,238,471
DPAC_post_roi_15_rgb.txt,29,25,weeds,200,148,229,173
DPAC_post_roi_15_rgb.txt,14,16,weeds,422,31,436,47
DPAC_post_roi_15_rgb.txt,16,27,weeds,622,379,638,406
DPAC_post_roi_15_rgb.txt,24,14,weeds,17,145,41,159
DPAC_post_roi_15_rgb.txt,16,16,weeds,54,68,70,84
DPAC_post_roi_15_rgb.txt,27,9,weeds,59,450,86,459
DPAC_post_roi_15_rgb.txt,23,19,weeds,381,307,404,326
DPAC_post_roi_15_rgb.txt,51,53,weeds,551,225,602,278
DPAC_post_roi_15_rgb.txt,32,49,weeds,606,63,638,112
DPAC_post_roi_15_rgb.txt,25,41,weeds,451,124,476,165
DPAC_post_roi_15_rgb.txt,27,42,weeds,331,319,358,361
DPAC_post_roi_15_rgb.txt,28,31,weeds,294,6,322,37
DPAC_post_roi_15_rgb.txt,32,37,weeds,4,30,36,67
DPAC_post_roi_15_rgb.txt,30,33,weeds,86,216,116,249
DPAC_post_roi_15_rgb.txt,16,20,weeds,382,6,398,26
DPAC_post_roi_15_rgb.txt,29,19,weeds,298,315,327,334
DPAC_post_roi_15_rgb.txt,36,22,weeds,358,354,394,376
DPAC_post_roi_15_rgb.txt,67,29,weeds,317,482,384,511
DPAC_post_roi_15_rgb.txt,28,33,weeds,80,402,108,435
DPAC_post_roi_15_rgb.txt,30,43,weeds,165,276,195,319
DPAC_post_roi_15_rgb.txt,29,26,weeds,555,265,584,291
DPAC_post_roi_15_rgb.txt,23,27,weeds,604,281,627,308
DPAC_post_roi_15_rgb.txt,28,20,weeds,516,152,544,172
DPAC_post_roi_15_rgb.txt,36,39,weeds,547,196,583,235
DPAC_post_roi_15_rgb.txt,17,23,weeds,597,206,614,229
DPAC_post_roi_15_rgb.txt,31,18,weeds,592,3,623,21
DPAC_post_roi_15_rgb.txt,13,19,weeds,84,285,97,304
DPAC_post_roi_15_rgb.txt,28,41,weeds,600,356,628,397
DPAC_post_roi_15_rgb.txt,16,14,weeds,1,240,17,254
DPAC_post_roi_15_rgb.txt,23,24,weeds,318,6,341,30
DPAC_post_roi_15_rgb.txt,69,55,weeds,445,330,514,385
DPAC_post_roi_15_rgb.txt,40,46,weeds,406,362,446,408
DPAC_post_roi_15_rgb.txt,103,115,weeds,532,391,635,506
DPAC_post_roi_15_rgb.txt,41,59,weeds,597,256,638,315
DPAC_post_roi_15_rgb.txt,25,29,weeds,556,59,581,88
DPAC_post_roi_15_rgb.txt,19,11,weeds,548,342,567,353
DPAC_post_roi_15_rgb.txt,53,29,weeds,424,305,477,334
DPAC_post_roi_15_rgb.txt,43,35,weeds,486,442,529,477
DPAC_post_roi_15_rgb.txt,56,34,weeds,223,464,279,498
